"","year","named_ind_from","mean_hdi"
"154",2005,"No Colonizer",0.742411764705882
"155",2005,"Other",0.659266666666667
"156",2005,"Portugal",0.485
"157",2005,"Russia",0.726076923076923
"158",2005,"Spain",0.723125
"159",2005,"Turkey",0.732142857142857
"160",2005,"United States",0.713666666666667
"161",2006,"England",0.666468085106383
"162",2006,"France",0.47375
"163",2006,"Netherlands",0.77475
"164",2006,"No Colonizer",0.748352941176471
"165",2006,"Other",0.666333333333333
"166",2006,"Portugal",0.4936
"167",2006,"Russia",0.735
"168",2006,"Spain",0.727625
"169",2006,"Turkey",0.739142857142857
"170",2006,"United States",0.722
"171",2007,"England",0.672787234042553
"172",2007,"France",0.47975
"173",2007,"Netherlands",0.779
"174",2007,"No Colonizer",0.753823529411765
"175",2007,"Other",0.673966666666667
"176",2007,"Portugal",0.5028
"177",2007,"Russia",0.743461538461538
"178",2007,"Spain",0.7345
"179",2007,"Turkey",0.747
"180",2007,"United States",0.730666666666667
"181",2008,"England",0.677957446808511
"182",2008,"France",0.4859375
"183",2008,"Netherlands",0.7815
"184",2008,"No Colonizer",0.758411764705882
"185",2008,"Other",0.679133333333333
"186",2008,"Portugal",0.5102
"187",2008,"Russia",0.749153846153846
"188",2008,"Spain",0.740125
"189",2008,"Turkey",0.756285714285714
"190",2008,"United States",0.735
"191",2009,"England",0.681021276595745
"192",2009,"France",0.4923125
"193",2009,"Netherlands",0.77875
"194",2009,"No Colonizer",0.761882352941176
"195",2009,"Other",0.683433333333333
"196",2009,"Portugal",0.5192
"197",2009,"Russia",0.750538461538461
"198",2009,"Spain",0.74125
"199",2009,"Turkey",0.759714285714286
"200",2009,"United States",0.736
"201",2010,"England",0.685021276595745
"202",2010,"France",0.4985
"203",2010,"Netherlands",0.789
"204",2010,"No Colonizer",0.768705882352941
"205",2010,"Other",0.680838709677419
"206",2010,"Portugal",0.5236
"207",2010,"Russia",0.749285714285714
"208",2010,"Spain",0.74575
"209",2010,"Turkey",0.763857142857143
"210",2010,"United States",0.737666666666667
"211",2011,"England",0.688148936170213
"212",2011,"France",0.5050625
"213",2011,"Netherlands",0.79275
"214",2011,"No Colonizer",0.774647058823529
"215",2011,"Other",0.686838709677419
"216",2011,"Portugal",0.531
"217",2011,"Russia",0.754285714285714
"218",2011,"Spain",0.752875
"219",2011,"Turkey",0.766428571428571
"220",2011,"United States",0.741
"221",2012,"England",0.694893617021277
"222",2012,"France",0.510375
"223",2012,"Netherlands",0.79575
"224",2012,"No Colonizer",0.780529411764706
"225",2012,"Other",0.690612903225806
"226",2012,"Portugal",0.5358
"227",2012,"Russia",0.760071428571429
"228",2012,"Spain",0.75475
"229",2012,"Turkey",0.771428571428571
"230",2012,"United States",0.740666666666667
"231",2013,"England",0.698702127659575
"232",2013,"France",0.5141875
"233",2013,"Netherlands",0.799
"234",2013,"No Colonizer",0.786294117647059
"235",2013,"Other",0.695741935483871
"236",2013,"Portugal",0.545
"237",2013,"Russia",0.7655
"238",2013,"Spain",0.76025
"239",2013,"Turkey",0.776285714285714
"240",2013,"United States",0.743333333333333
"241",2014,"England",0.702851063829787
"242",2014,"France",0.518875
"243",2014,"Netherlands",0.80125
"244",2014,"No Colonizer",0.790411764705882
"245",2014,"Other",0.700354838709677
"246",2014,"Portugal",0.551
"247",2014,"Russia",0.770214285714286
"248",2014,"Spain",0.76375
"249",2014,"Turkey",0.779857142857143
"250",2014,"United States",0.747666666666667
"251",2015,"England",0.706808510638298
"252",2015,"France",0.5224375
