"","year","named_ind_from","mean_gdp"
"151",2005,"England",211232744684.391
"152",2005,"France",39189115876.4227
"153",2005,"Netherlands",441214344130.466
"154",2005,"No Colonizer",804220213551.836
"155",2005,"Other",82519972283.1379
"156",2005,"Portugal",430528073064.028
"157",2005,"Russia",78856267520.8935
"158",2005,"Spain",371778979091.426
"159",2005,"Turkey",125601947098.611
"160",2005,"United States",122582583257.261
"161",2006,"England",232349569545.783
"162",2006,"France",41363126077.2514
"163",2006,"Netherlands",478566434580.429
"164",2006,"No Colonizer",866409639775.832
"165",2006,"Other",90606853676.1122
"166",2006,"Portugal",462679689206.52
"167",2006,"Russia",89153918572.9379
"168",2006,"Spain",413566988511.937
"169",2006,"Turkey",141868976017.335
"170",2006,"United States",132905355481.189
"171",2007,"England",252804478964.748
"172",2007,"France",44329999367.3774
"173",2007,"Netherlands",518653629246.076
"174",2007,"No Colonizer",916147953119.427
"175",2007,"Other",95102649194.9898
"176",2007,"Portugal",505637615396.338
"177",2007,"Russia",100486224508.34
"178",2007,"Spain",445924469381.638
"179",2007,"Turkey",154967502546.815
"180",2007,"United States",145499251528.262
"181",2008,"England",266095427662.73
"182",2008,"France",46642490113.9207
"183",2008,"Netherlands",556451257801.953
"184",2008,"No Colonizer",951664923675.66
"185",2008,"Other",100116796728.283
"186",2008,"Portugal",543264647627.972
"187",2008,"Russia",107779875132.321
"188",2008,"Spain",472218829821.262
"189",2008,"Turkey",172880839682.823
"190",2008,"United States",154477537627.996
"191",2009,"England",278342774134.858
"192",2009,"France",48121420990.24
"193",2009,"Netherlands",580641680654.694
"194",2009,"No Colonizer",927424343133.596
"195",2009,"Other",101165047357.474
"196",2009,"Portugal",547246815486.418
"197",2009,"Russia",103786743872.625
"198",2009,"Spain",464804448402.577
"199",2009,"Turkey",173077059106.825
"200",2009,"United States",157435152036.101
"201",2010,"England",297552392561.206
"202",2010,"France",50878381045.969
"203",2010,"Netherlands",622647845884.229
"204",2010,"No Colonizer",976425330848.753
"205",2010,"Other",108268395550.046
"206",2010,"Portugal",594513916669.288
"207",2010,"Russia",110619167644.847
"208",2010,"Spain",496709642378.479
"209",2010,"Turkey",173149219025.842
"210",2010,"United States",171419147616.895
"211",2011,"England",316158696497.36
"212",2011,"France",50416595423.0104
"213",2011,"Netherlands",670707232645.605
"214",2011,"No Colonizer",1022121884311.44
"215",2011,"Other",116543440777.456
"216",2011,"Portugal",631063579271.583
"217",2011,"Russia",119465275181.452
"218",2011,"Spain",539384281064.05
"219",2011,"Turkey",173535444269.903
"220",2011,"United States",181404408523.051
"221",2012,"England",338269692569.457
"222",2012,"France",56798235220.9105
"223",2012,"Netherlands",718720614997.206
"224",2012,"No Colonizer",1061002519480.59
"225",2012,"Other",126156809633.414
"226",2012,"Portugal",657837177824.181
